game_id,game_date,event_index,player_id,team,shot_distance,shot_angle,shot_type,strength_state,is_powerplay,is_rebound,seconds_since_last_event,is_empty_net,score_differential,period,x_coord,y_coord,prior_event_type,prior_event_distance,is_goal
2025020990,2026-03-07,206,8478401,BOS,7.81,39.81,backhand,5v4,1,0,0,0,0,3,83,-5,blocked-shot,61.72,0
2025020990,2026-03-07,207,8477496,BOS,17.46,13.24,tip-in,5v4,1,1,0,0,0,3,72,4,shot-on-goal,7.81,0
2025020990,2026-03-07,208,8477956,BOS,41.01,45.0,slap,5v4,1,1,0,0,0,3,60,29,missed-shot,17.46,0
2025020990,2026-03-07,212,8483489,BOS,33.12,61.11,snap,5v5,0,0,0,0,0,3,73,29,giveaway,68.26,0
2025020990,2026-03-07,214,8476854,BOS,52.01,52.03,snap,5v5,0,0,0,0,0,3,57,41,giveaway,28.64,0
2025020990,2026-03-07,228,8478042,BOS,21.0,0.0,snap,5v5,0,0,0,0,1,3,68,0,giveaway,63.07,1
2025020990,2026-03-07,234,8483489,BOS,30.41,62.59,snap,5v5,0,0,0,0,0,3,75,27,giveaway,76.94,0
2025020990,2026-03-07,239,8479325,BOS,66.24,28.89,snap,5v5,0,0,0,0,0,3,31,-32,hit,43.08,0
2025020990,2026-03-07,243,8477496,BOS,38.95,60.8,snap,5v5,0,0,0,0,0,3,70,-34,takeaway,40.5,0
2025020990,2026-03-07,246,8478042,BOS,53.26,50.33,backhand,5v5,0,0,0,0,0,3,55,41,hit,77.08,0
2025020990,2026-03-07,249,8478042,BOS,10.44,16.7,backhand,5v5,0,0,0,0,0,3,79,3,faceoff,29.73,0
2025020990,2026-03-07,253,8479325,BOS,19.31,21.25,snap,5v5,0,0,0,0,0,3,71,-7,blocked-shot,15.26,0
2025020990,2026-03-07,256,8480873,WSH,13.42,26.57,deflected,5v5,0,0,0,0,0,3,77,6,faceoff,29.73,0
2025020990,2026-03-07,266,8482634,BOS,31.06,56.82,snap,5v5,0,0,0,0,0,3,72,26,blocked-shot,45.88,0
2025020990,2026-03-07,269,8479987,BOS,35.13,4.9,snap,5v5,0,0,0,0,0,3,54,-3,blocked-shot,14.04,0
2025020990,2026-03-07,274,8478911,WSH,49.24,23.96,slap,5v5,0,0,0,0,0,3,44,-20,faceoff,29.73,0
2025020990,2026-03-07,275,8478911,WSH,67.54,25.43,snap,5v5,0,1,0,0,0,3,28,-29,shot-on-goal,49.24,0
2025020990,2026-03-07,280,8481219,BOS,67.68,34.16,snap,5v5,0,0,0,0,0,3,33,38,hit,83.24,0
2025020990,2026-03-07,290,8481580,WSH,14.87,42.27,snap,5v5,0,0,0,0,0,3,78,-10,faceoff,29.73,0
2025020990,2026-03-07,293,8478440,WSH,91.76,20.41,wrist,5v5,0,0,0,0,0,3,3,32,hit,21.54,0
2025020990,2026-03-07,297,8479345,WSH,41.0,0.0,snap,5v5,0,0,0,0,0,3,48,0,giveaway,45.28,0
2025020990,2026-03-07,300,8479987,BOS,58.82,17.82,snap,5v5,0,0,0,0,0,3,33,18,hit,34.0,0
2025020990,2026-03-07,302,8478463,WSH,58.0,0.0,slap,6v5,1,0,0,0,0,3,31,0,hit,40.26,0
2025020990,2026-03-07,307,8471214,WSH,32.89,19.54,snap,6v5,1,0,0,0,0,3,58,-11,faceoff,29.73,0
2025020990,2026-03-07,312,8471214,WSH,38.29,49.24,snap,6v5,1,0,0,0,0,3,64,29,faceoff,29.73,0
2025020990,2026-03-07,313,8477496,BOS,53.16,16.39,snap,5v6,0,1,0,1,2,3,38,-15,shot-on-goal,38.29,1
2025020991,2026-03-07,2,8478882,NYR,59.91,33.42,slap,5v5,0,0,0,0,0,1,39,33,faceoff,89.0,0
2025020991,2026-03-07,3,8479323,NYR,51.35,6.71,wrist,5v5,0,1,0,0,0,1,38,-6,missed-shot,59.91,0
2025020991,2026-03-07,4,8479407,NJD,21.63,33.69,snap,5v5,0,1,0,0,1,1,71,-12,shot-on-goal,51.35,1
2025020991,2026-03-07,12,8475455,NJD,8.6,35.54,tip-in,5v5,0,0,0,0,0,1,82,5,hit,12.53,0
2025020991,2026-03-07,13,8484958,NJD,31.38,67.52,poke,5v5,0,1,0,0,0,1,77,-29,missed-shot,8.6,0
2025020991,2026-03-07,23,8482073,NYR,40.5,57.09,wrist,5v5,0,0,0,0,0,1,67,-34,faceoff,72.42,0
2025020991,2026-03-07,26,8478414,NJD,33.62,30.38,slap,5v5,0,0,0,0,0,1,60,-17,faceoff,29.73,0
2025020991,2026-03-07,30,8482684,NJD,31.0,0.0,wrist,5v5,0,0,0,0,0,1,58,0,hit,63.82,0
2025020991,2026-03-07,31,8478840,NYR,42.15,22.31,wrist,5v5,0,1,0,0,0,1,50,16,shot-on-goal,31.0,1
2025020991,2026-03-07,34,8482157,NYR,25.3,18.43,snap,5v5,0,0,0,0,0,1,65,-8,hit,50.25,0
2025020991,2026-03-07,41,8478414,NJD,10.2,78.69,snap,5v5,0,0,0,0,0,1,87,-10,faceoff,72.42,0
2025020991,2026-03-07,44,8475760,NJD,29.02,1.97,wrist,5v5,0,0,0,0,0,1,60,1,hit,90.47,0
2025020991,2026-03-07,48,8478882,NYR,48.7,19.18,slap,5v5,0,0,0,0,1,1,43,16,giveaway,12.81,1
2025020991,2026-03-07,57,8481726,NYR,10.63,41.19,wrist,5v5,0,0,0,0,0,1,81,7,giveaway,26.93,0
2025020991,2026-03-07,58,8481726,NYR,22.14,89.73,wrist,5v5,0,1,0,0,0,1,96,21,shot-on-goal,10.63,0
2025020991,2026-03-07,59,8482109,NYR,7.07,45.0,backhand,5v5,0,1,0,0,0,1,84,-5,shot-on-goal,22.14,0
2025020991,2026-03-07,62,8482684,NJD,54.2,37.5,wrist,5v5,0,0,0,0,0,1,46,-33,faceoff,29.73,0
2025020991,2026-03-07,65,8482684,NJD,47.54,14.62,wrist,5v5,0,0,0,0,0,1,43,12,faceoff,29.73,0
2025020991,2026-03-07,68,8482110,NJD,15.26,31.61,snap,5v5,0,0,0,0,0,1,76,-8,faceoff,29.73,0
2025020991,2026-03-07,69,8480002,NJD,58.6,36.67,slap,5v5,0,1,0,0,0,1,42,-35,missed-shot,15.26,0
2025020991,2026-03-07,75,8481789,NYR,36.77,45.0,wrist,5v5,0,0,0,0,0,1,63,26,giveaway,49.16,0
2025020991,2026-03-07,80,8477015,NJD,31.11,45.0,wrist,5v5,0,0,0,0,0,1,67,-22,hit,45.65,0
2025020991,2026-03-07,83,8482157,NYR,17.0,28.07,tip-in,5v5,0,0,0,0,0,1,74,8,faceoff,29.73,0
2025020991,2026-03-07,86,8484210,NYR,24.17,24.44,tip-in,5v5,0,0,0,0,0,1,67,-10,giveaway,25.71,0
2025020991,2026-03-07,95,8482110,NJD,25.0,0.0,tip-in,5v4,1,0,0,0,0,1,64,0,faceoff,72.42,0
2025020991,2026-03-07,96,8482110,NJD,18.97,18.43,snap,5v4,1,1,0,0,0,1,71,-6,missed-shot,25.0,0
2025020991,2026-03-07,97,8482110,NJD,15.52,14.93,tip-in,5v4,1,1,0,0,0,1,74,-4,missed-shot,18.97,1
2025020991,2026-03-07,106,8478414,NJD,19.65,14.74,tip-in,5v5,0,0,0,0,0,2,70,5,faceoff,72.42,0
2025020991,2026-03-07,120,8484958,NJD,55.23,5.19,wrist,5v5,0,0,0,0,0,2,34,5,hit,30.07,0
2025020991,2026-03-07,121,8483495,NJD,40.02,77.01,wrist,5v5,0,1,0,0,0,2,80,-39,shot-on-goal,55.23,0
2025020991,2026-03-07,122,8479407,NJD,25.5,41.82,wrist,5v5,0,1,0,0,0,2,70,-17,missed-shot,40.02,0
2025020991,2026-03-07,131,8475455,NJD,47.51,30.34,wrist,5v5,0,0,0,0,0,2,48,24,blocked-shot,41.59,0
2025020991,2026-03-07,132,8481559,NJD,33.6,36.53,wrist,5v5,0,1,0,0,0,2,62,-20,shot-on-goal,47.51,0
2025020991,2026-03-07,135,8476462,NJD,63.81,32.2,snap,5v5,0,0,0,0,0,2,35,-34,faceoff,72.42,0
2025020991,2026-03-07,137,8483690,NYR,35.85,22.99,wrist,5v5,0,0,0,0,0,2,56,-14,hit,42.49,0
2025020991,2026-03-07,138,8477839,NYR,11.0,0.0,wrist,5v5,0,1,0,0,0,2,78,0,shot-on-goal,35.85,0
2025020991,2026-03-07,140,8480192,NJD,57.31,6.01,slap,5v5,0,0,0,0,0,2,32,-6,giveaway,57.2,0
2025020991,2026-03-07,149,8478414,NJD,47.71,56.98,wrist,5v5,0,0,0,0,0,2,63,40,giveaway,65.49,0
2025020991,2026-03-07,155,8482109,NYR,7.0,0.0,tip-in,5v4,1,0,0,0,0,2,82,0,faceoff,29.73,0
2025020991,2026-03-07,156,8482109,NYR,8.0,0.0,wrist,5v4,1,1,0,0,0,2,81,0,shot-on-goal,7.0,0
2025020991,2026-03-07,157,8484210,NYR,28.3,32.01,wrist,5v4,1,1,0,0,0,2,65,-15,missed-shot,8.0,0
2025020991,2026-03-07,163,8475760,NJD,20.25,57.09,backhand,4v5,0,0,0,0,0,2,78,17,faceoff,29.73,0
2025020991,2026-03-07,166,8478414,NJD,20.25,32.91,snap,5v5,0,0,0,0,0,2,72,-11,blocked-shot,11.0,0
2025020991,2026-03-07,167,8482684,NJD,46.14,29.9,wrist,5v5,0,1,0,0,0,2,49,23,shot-on-goal,20.25,0
2025020991,2026-03-07,173,8483495,NJD,35.0,0.0,wrist,5v5,0,0,0,0,0,2,54,0,giveaway,25.0,0
2025020991,2026-03-07,177,8479407,NJD,34.71,48.5,snap,6v5,1,0,0,0,0,2,66,-26,delayed-penalty,89.0,0
2025020991,2026-03-07,180,8478414,NJD,26.0,0.0,snap,5v4,1,0,0,0,0,2,63,0,faceoff,29.73,0
2025020991,2026-03-07,181,8478414,NJD,14.21,50.71,wrist,5v4,1,1,0,0,0,2,80,-11,shot-on-goal,26.0,0
2025020991,2026-03-07,182,8480002,NJD,44.18,5.19,snap,5v4,1,1,0,0,0,2,45,4,shot-on-goal,14.21,0
2025020991,2026-03-07,186,8481559,NJD,49.16,4.67,slap,5v4,1,0,0,0,1,2,40,4,faceoff,29.73,1
2025020991,2026-03-07,190,8476462,NJD,43.83,55.22,slap,5v5,0,0,0,0,0,2,64,-36,blocked-shot,22.83,0
